Project Name	URL	Date	Header	Short Description	Description	Images	Cover Image	IsApp	Make Page
DMDesign	dmdesign	2015	a CAD/CAM/simulation tool for digital materials	A CAD/CAM/simulation tool for digital materials	More info coming soon.  Demo <a href="http://git.amandaghassaei.com/DMDesign/" target="_blank">here</a>.	images/DMDesign/main.jpg	images/DMDesign/coverImage	TRUE	TRUE
linkages 	http://git.amandaghassaei.com/Linkages/	2015	a physics-based linkage optimization tool, written in javascript	a physics-based linkage optimization tool, written in javascript		images/linkages/main.jpg		TRUE	FALSE
gimbal	compass	in progress	work in progress	3d printed gimbal mechanism based on a differential gear system.	3d printed gimbal mechanism based on an interlocking differential gear system, designed in Inventor.  I'll post more about this project when it's done, for now I'll talk a little bit about my main design considerations:<br/>The inner disc should rotate on all three axes continuously without ever having to reset itself.  It needs to be able to move itself to any arbitrary position in 3D space.<br/>I wanted to hide the fact that this a digital device by keeping all the electronics and digital hardware out of sight. All of the motors involved should be stationary relative to the project enclosure - this also bypasses the problem of having to supply power to something that is rotating.<br/><br/>The movement for this project is somewhat complex, and the constraint that none of the motors should be visible was tricky to satisfy.  At the core of my design is something called a differential gear.  I'm using two layers of differential gears to get three axes of rotational motion.  This mechanism is broadly classified as a type of gimbal.	images/compass/main.jpg	images/compass/coverImage	FALSE	TRUE
genetic images	genetic_images	in progress	reconstructing images by genetic algorithm	An exploration into genetic programming beginning with a simple problem: how to best reconstruct an image using a collection of translucent polygons.	In this project, I wanted to explore some genetic systems where a solution's fitness can be easily assesed by sight,      to get a better understanding of how various parameters in a genetic program affect the output.  I'm experimenting with genetic and hill climbing algorithms,      and looking at how mutation rate, population size, method of crossover, and other parameters impact the ability of a program      to converge on a good, global solution.<br>     <br>     This work will be up on Instructables shortly, until then, my most recent code is up on <a href="https://github.com/amandaghassaei/Genetic-Images" target="_blank">Github</a>.	images/genetic_images/main.gif		FALSE	TRUE
sugarcube	sugarcube	2014	a multi-functional, standalone MIDI instrument	A standalone, grid-based MIDI controller powered by Arduino. This project is open source and supported by an Arduino library.	The Sugarcube is an extension of the work I've been doing on the <a href="../monome">monome project</a>.     It's an open source, grid-based, standalone MIDI instrument that can be booted up into various musical applications.     It communicates via a MIDI output with other electronic MIDI instruments and software environments like Ableton and MaxMSP.     An Arduino Uno generates all of its MIDI data and drives LEDS, buttons, a 2 axis gyroscope, a 3 axis accelerometer,     and two potentiometers, and the whole device is powered by a lithium-polymer battery.	images/sugarcube/main.jpg	images/sugarcube/coverImage	FALSE	TRUE
teaching	teaching	2013-present	various workshops in the SF area	Various workshops in the SF area.	<b>Past Workshops:</b><br/><br/> <b>Intro to Arduino</b> Jan 2014 <a href="http://www.womensaudiomission.org/" target="_blank">Women's Audio Mission</a> -     A series of three workshops introducing topics in electronics and programming using Arduino.     We covered the basics of analog and digital circuits, inputs and outputs, ohms law, how to use a breadboard, sensors, and how to build a simple MIDI controller.     Find all course materials and notes on <a href="http://www.instructables.com/id/Beginner-Arduino/" target="_blank">Instructables</a>.<br/><br/> <b>Arduino and MIDI</b> Oct 2013 <a href="http://www.cca.edu/" target="_blank">California College of the Arts</a> -     One three hour workshop covering the basics of MIDI and using Arduino to create MIDI.     Also a demonstration of simple analog and digital circuits that can be used to build custom MIDI instruments.  Find an     overview of this workshop on <a href="http://www.instructables.com/id/Send-and-Receive-MIDI-with-Arduino/?ALLSTEPS" target="_blank">Instructables</a>.<br/><br/> <b>Intro to MaxMSP</b> Sep 2013 <a href="http://www.womensaudiomission.org/" target="_blank">Women's Audio Mission</a> -     A series of three workshops demonstrating how to create interactive, audio and MIDI applications in the graphical programming language MaxMSP.     Example patches used in this class include arpeggiators, step sequencers, loopers, synthesizers, and interfaces for Kinect, Arduino, ReacTivision, and more.     Find all course materials and notes on <a href="http://www.instructables.com/id/Intro-to-MaxMSP/" target="_blank">Instructables</a>.	images/teaching/main.jpg		FALSE	TRUE
laser cut record	laser_cut_record	2013	on acrylic, wood, paper	A program that converts digital audio files into record cutting paths. Includes demos of some of the records I've cut on a laser cutter.	As a follow up to my <a href="../3D_printed_record">3D printed records</a>, I developed a more accessible way of fabricating records with a laser cutter.  These records were cut on an Epilog 120 Watt Legend EXT to a theoretical precision of 1200dpi (though the kerf of the cut and some tricks I used to avoid crashing the laser cutter dropped the actual precision down by ~1/6).  The audio on the records has a bit depth between 4-5 bit and a sampling rate up to about 4.5kHz.  So far I've successfully cut audio on wood, acrylic, and paper, and I'm sure there are many more materials that would work.  I wrote the Processing sketch that generates the record cutting paths so that it can be modified for any song, material, cutting machine, record size, and turntable speed, find that code and more detailed info about the project on <a href="http://www.instructables.com/id/Laser-Cut-Record/" target="_blank">Instructables</a>.  All photos by <a href="http://audreyobscura.com/" target="_blank">Audrey Love</a>. 	images/laserrecord/main.jpg	images/laserrecord/coverImage	FALSE	TRUE
3D printed record	3D_printed_record	2012	converting digital audio into a physical, functional LP	A program that converts digital audio files into 3D printable records. Includes demos of some of the records I've printed.	In order to explore the current limits of 3D printing, I've created a technique for converting digital     audio files into 3D-printable, 33rpm records that play on ordinary turntables.  Though     the audio quality is low, the audio output is still easily recognizable - the records have a sampling rate of 11kHz and 5-6 bit     resolution.     These records were printed on an Objet Connex500 resin printer to a precision of 600dpi with 16 micron z axis     resolution.  The 3D modeling in this project was far too complex to do by hand, so     I wrote a program to do this conversion automatically.  It works by importing raw audio data, performing some     calculations to generate the geometry of a 12" record, and eventually exporting this geometry straight to a 3D     printable file format.  Most of the heavy lifting is done by     <a href="http://www.processing.org/" target="_blank">Processing</a>, here's a basic overview of my Processing     code:<br/><br/> <b>use raw audio data to set the groove depth</b> - parse through the raw audio data (this is the set of numbers that     defines the shape of the audio waveform) and use this information to set the height of the bottom of a spiral groove.     This way, when a turntable stylus moves along the groove it will move vertically in the same path as the original     waveform and recreate the original audio signal.<br/> <b>draw record and groove geometry</b> - A 3D model is essentially a list of triangles arranged in 3D space to create a     continuous mesh, use the data from the last step and some general record parameters (record diameter, thickness,     groove width, etc) to generate the list of triangular faces that describes the record's shape and the detailed     spiral groove inscribed on its surface.<br/> <b>export model in STL format</b> - the STL file format is a 3D format understood by most 3D printers.  To get Processing     to export straight to STL, I used the     <a href ="http://workshop.evolutionzone.com/2011/04/06/code-modelbuilder-library-public-release/" target="_blank">ModelBuilder Library</a> written by <a href="http://mariuswatz.com/" target="_blank">Marius Watz</a>.<br/><br/> The video below shows the entire record-making process and features some of the audio I've been able to reproduce, more     audio can be found in the following video.  A detailed discussion of the development process, code, and downloadable 3D     record files can be found on     <a href="http://www.instructables.com/id/3D-Printed-Record/?ALLSTEPS" target="_blank">Instructables</a>.	images/3drecord/main.jpg	images/3drecord/coverImage	FALSE	TRUE
arduinodsp	arduinodsp 	2012	experiments with digital signal processing using Arduino	Experiments with digital signal processing using Arduino		images/arduinodsp/main.jpg		FALSE	FALSE
glitchbox	glitchbox	2012	a sample-based drum machine, looper, and MIDI sequencer	A sample-based drum machine, looper, and MIDI sequencer.	An experiment pushing the limits of the Arduino's memory.  The glitchbox is an Arduino powered, sample-based drum machine used for live audio or MIDI sequencing.  The buttons on the front of the instrument play back nine audio samples stored in the Arduino's memory.  A switch on top records and loops sequences of these samples.  Once a sequence is recorded, additional samples may be layered and automatically looped on top.  Recorded sequences may also be temporarily muted or cleared and rerecorded, and two knobs on top of the instrument control volume and tempo.  Complete build documentation can be found on <a href="http://www.instructables.com/id/Electronic-Instrument/?ALLSTEPS" target="_blank">Instructables</a>.<!--The glitchbox is an electronic instrument used for live audio sequencing. Each of its nine buttons is linked to an audio file stored in its memory, new audio files may be loaded onto the instrument via USB. A switch on top allows the user to play, record, and loop a sequence of audio. Once recorded, additional audio may be recorded and automatically looped on top of an existing sequence. Old sequences can be cleared from the instrument's memory and replaced with new sequences live. Two knobs on top of the instrument control volume and tempo, and a second switch mutes and unmutes recorded sequences. More info, pictures, video documentation, and build guide coming soon.... --> 	images/glitchbox/main.jpg	images/glitchbox/coverImage	FALSE	TRUE
